t	x	y	Vx	Vy
s	m	m	m/s	m/s
0,00	0,00	0,00	25,98	15,00
0,10	2,60	1,45	25,98	14,02
0,20	5,20	2,80	25,98	13,04
0,30	7,79	4,06	25,98	12,06
0,40	10,39	5,22	25,98	11,08
0,50	12,99	6,27	25,98	10,10
0,60	15,59	7,23	25,98	9,11
0,70	18,19	8,10	25,98	8,13
0,80	20,78	8,86	25,98	7,15
0,90	23,38	9,53	25,98	6,17
1,00	25,98	10,10	25,98	5,19
1,10	28,58	10,56	25,98	4,21
1,20	31,18	10,94	25,98	3,23
1,30	33,77	11,21	25,98	2,25
1,40	36,37	11,39	25,98	1,27
1,50	38,97	11,46	25,98	0,28
1,60	41,57	11,44	25,98	-0,70
1,70	44,17	11,32	25,98	-1,68
1,80	46,77	11,11	25,98	-2,66
1,90	49,36	10,79	25,98	-3,64
2,00	51,96	10,38	25,98	-4,62
2,10	54,56	9,87	25,98	-5,60
2,20	57,16	9,26	25,98	-6,58
2,30	59,76	8,55	25,98	-7,56
2,40	62,35	7,75	25,98	-8,54
2,50	64,95	6,84	25,98	-9,53
2,60	67,55	5,84	25,98	-10,51
2,70	70,15	4,74	25,98	-11,49
2,80	72,75	3,54	25,98	-12,47
2,90	75,34	2,25	25,98	-13,45
3,00	77,94	0,85	25,98	-14,43
